ID,Name,Type,Country_Faction,Alignment,Position,Magic_School,Spell_Unlock,Region_State,Terrain_Affinity,Starting_Army_Name,Key_Traits,Narrative_Hook,Status,Notes
PROT_13,Green Mountain Ghost,PROTECTOR,USA,PLAYER,SPECTRAL DEVELOPMENT,Spectral,RURAL SPECTRAL INVESTMENT INITIATIVE,VT,Foothills,,"Invisible / productive / nocturnal / Vermont","The Boys who never left. Events about place-loyalty — haunting as caretaking, presence as protection. Settlers working harder and not elaborating on why.",IMPLEMENTED,Summon event: PROT_13_SUMMON. Resource unlock: happiness (20-35). Dev req: 2.
PROT_14,Mount Rushmore,PROTECTOR,USA,PLAYER,MANIFEST ECONOMY,Manifest,MONUMENT-BASED ECONOMIC STIMULUS PACKAGE,,Metro,,"Granite / arguing / Washington tries to chair / Lincoln watching Ualani","Four presidents in the situation room. Events where history and present collide — Roosevelt interrupting / Jefferson raising philosophical objections / Lincoln quietly approving of Carlisle.",IMPLEMENTED,Summon event: PROT_14_SUMMON. Content flag: kinky_lewd. Resource unlock: mandate (25-40). Dev req: 5.
PROT_15,Skunk Ape,PROTECTOR,USA,PLAYER,WETLAND ENFORCEMENT,Cryptid,FLORIDA CRYPTID INTEGRATION TASK FORCE,FL,Wetlands,,"Massive / fragrant / passionate about swamp sovereignty / Floridian","He has been here longer than the settlers. Events about Florida — which has always operated by different rules — and what it means that even the swamp takes sides.",IMPLEMENTED,Summon event: PROT_15_SUMMON. Resource unlock: food (15-25). Dev req: 2.
PROT_16,Eternal Minuteman,PROTECTOR,USA,PLAYER,PERMANENT READINESS,Iron,PERMANENT READINESS MANDATE (EXPIRES NEVER),MA,Suburbs (Fixed Tile 61),,"Ready / always / 1775 to now / breeches situation unspecified","He was ready then. He is ready now. Events about what 'ready' means when the cause is permanent — the first shot still echoing / the same green at Lexington / the question whose answer is already known.",IMPLEMENTED,Summon event: PROT_16_SUMMON. Fixed tile 61. Resource unlock: manpower (30-50). Dev req: 3.
PROT_17,Lincoln's Ghost,PROTECTOR,USA,PLAYER,EMANCIPATION / MANDATE,Spectral,EMANCIPATION PROCLAMATION 2: STILL EMANCIPATING,DC,Metro (Fixed Tile 188),,"Spectral / useful / sits in the hard chairs / two in the morning wisdom","Still in the White House. Has opinions about the East Bedroom. Events where the weight of freedom's unfinished business arrives at 2am with something useful to say. The arc bends. This is the bending part.",IMPLEMENTED,Summon event: PROT_17_SUMMON. Fixed tile 188. Resource unlock: mandate (20-35). Dev req: 3.
ARC_01,Wetlands Fisher,ARCHETYPE,USA,PLAYER,SCOUT,,,WV/NJ/MD/SC,Wetlands,,Resourceful / local / read the water / invisible in the marsh,Guerrilla intel from the marshes. Events: local knowledge beats military strategy.,IMPLEMENTED,Army: Wetlands Rangers. Name pools: NP_01 (English) / NP_04 (African American).
ARC_02,Appalachian Miner,ARCHETYPE,USA,PLAYER,ENGINEER,,,WV/PA/VA,Foothills,,Gritty / practical / knows what's underground / doesn't trust suits,The mountain knows what armies don't. Events: tunnel warfare / resource extraction under fire / Crown mining operations.,IMPLEMENTED,Army: Mountain Militia. Name pool: NP_03 (Southern Appalachian).
ARC_03,Ivy League Dropout,ARCHETYPE,USA,PLAYER,SCHOLAR,,,Boston/Philadelphia/NYC,Metro,,Brilliant / resentful / overqualified / finding purpose,Left the academy for the cause. Events: intelligence work / propaganda / the tension between education and action.,IMPLEMENTED,Army: Volunteer Regiment. Pools: NP_01 / NP_09 (Irish) / NP_10 (Jewish).
ARC_04,Seminole Fighter,ARCHETYPE,USA,PLAYER,WARRIOR,,,FL/SC/GA,Wetlands|Farmlands,,Fierce / sovereign / tactical / fighting their own war inside this one,The revolution within the revolution. Events: Indigenous-colonial alliance tensions / Florida territory / the war this person has already been fighting.,IMPLEMENTED,Army: Forest Skirmishers. Pool: NP_07 (Indigenous).
ARC_05,Green Mountain Farmer,ARCHETYPE,USA,PLAYER,FARMER,,,VT/NH,Foothills|Farmlands,,Self-reliant / stubborn / locally loyal / works while talking,Vermont energy. Events: community defense / food security under occupation / the farmer who showed up with a musket and stayed.,IMPLEMENTED,Army: Green Mountain Boys. Pools: NP_01 / NP_06 (French/Acadian).
ARC_06,Chesapeake Shipwright,ARCHETYPE,USA,PLAYER,ENGINEER,,,MD/VA/DE,Wetlands,,Skilled / sea-knowledge / proud / loyal to the bay,Builds the boats that win naval engagements. Events: harbor defense / supply routes / what happens when the bay takes sides (see Chessie).,IMPLEMENTED,Army: Harbor Guard. Pools: NP_01 / NP_04.
ARC_07,Loyalist Turncoat,ARCHETYPE,USA,PLAYER,SPY,,,NY/PA,Metro|Suburbs,,Conflicted / calculating / high risk / knows too much,Someone who switched sides and carries the weight of what they did before. Events: double-agent dynamics / loyalty tests / the moment of choosing. Perfect Codebook commander.,IMPLEMENTED,Army: Irregular Rifles. Pools: NP_01 / NP_02 (German).
ARC_08,Tobacco Belt Drifter,ARCHETYPE,USA,PLAYER,SCOUT,,,VA/NC/SC/GA,Farmlands,,Wandering / observant / knows every road / doesn't stay,Intel from plantation country. Events: supply route sabotage / plantation economy / freedom-seeking enslaved persons they've encountered on the road.,IMPLEMENTED,Army: Frontier Militia. Pools: NP_03 / NP_04.
ARC_09,War Widow,ARCHETYPE,USA,PLAYER,DIPLOMAT,,,Any Suburb/Metro,Suburbs|Metro,,Grieved / determined / refuses to stop / twice as capable,Lost someone and turned it into fuel. Events: civilian resistance / community organizing / the cost of the revolution measured in who isn't here anymore.,IMPLEMENTED,Army: Liberty Brigade. Pools: NP_01 / NP_04 / NP_09.
ARC_10,Indigenous Scout,ARCHETYPE,USA,PLAYER,SCOUT,,,Any Woods/Wetlands,Woods|Wetlands,,Expert / sovereign / watching both sides / their own agenda,Navigates territory as a native — which means knowing things armies can't know. Events: indigenous alliance tensions / land promises / what the Republic will and won't guarantee.,IMPLEMENTED,Army: Ranger Company. Pool: NP_07.
ARC_11,Boston Rabble-Rouser,ARCHETYPE,USA,PLAYER,ORATOR,,,MA / Boston,Metro,,Loud / energetic / persuasive / occasionally right,The voice that turns a crowd into a movement. Events: propaganda / faction loyalty swings / tea parties (metaphorical and otherwise).,IMPLEMENTED,Army: Sons of Liberty. Pools: NP_01 / NP_09.
ARC_12,Continental Surgeon,ARCHETYPE,USA,PLAYER,HEALER,,,PA/VA/NY,Farmlands|Foothills,,Pragmatic / exhausted / keeps going / occasionally miraculous,Has seen everything. Events: field medicine under fire / the moral weight of triage / what surgeons know about war that generals don't.,IMPLEMENTED,Army: Continental Corps. Pools: NP_01 / NP_02.
ARC_13,Nantucket Sailor,ARCHETYPE,USA,PLAYER,ADMIRAL,,,MA / Nantucket,Wetlands,,Salt-hardened / independent / reads the ocean / Republic of the sea,The water is their home. Events: naval engagements / whale-road intelligence / Old Ironsides crew candidates.,IMPLEMENTED,Army: Naval Infantry. Pool: NP_01.
ARC_14,Frontier Preacher,ARCHETYPE,USA,PLAYER,ORATOR,,,VA/WV/TN/KY,Woods|Foothills,,Traveling / fire / democratic / anti-slavery undertone,The sermon that reaches places armies can't. Events: faith organizing / frontier settlement / the preacher who shows up during the occupation and keeps going.,IMPLEMENTED,Army: Righteous Rifles. Pool: NP_03. Pairs with Francis Asbury event arcs.
ARC_15,DC Bureaucrat,ARCHETYPE,USA,PLAYER,BUREAUCRAT,,,DC / Any Metro,Metro,,Process / paperwork / outlasts everything / unexpectedly essential,Keeps the Republic running while everyone else is fighting. Events: mandate/corruption crises / the infrastructure of revolution / 'the paperwork has to be filed.',IMPLEMENTED,Army: Federal Guard. Pools: NP_01 / NP_04.
ARC_16,Rust Belt Steelworker,ARCHETYPE,USA,PLAYER,ENGINEER,,,PA/OH/NJ,Suburbs,,Strong / union-minded / makes things / doesn't waste,The worker who built the weapons. Events: production under occupation / sabotage from inside the factory / labor organization.,IMPLEMENTED,Army: Iron Brigade. Pools: NP_02 / NP_09.
ARC_17,Plantation Deserter,ARCHETYPE,USA,PLAYER,SOLDIER,,,VA/NC/SC/GA,Farmlands,,Free / resolute / no going back / earned everything,Left. Won't return. Events: freedom-seeking narrative / what the revolution owes / the soldier who is fighting for something different than everyone else.,IMPLEMENTED,Army: Freedom Rifles. Pool: NP_04.
ARC_18,Swamp Witch,ARCHETYPE,USA,PLAYER,MAGE,,,LA/FL/SC/GA,Wetlands,,Uncanny / rooted / knows old things / not on your side but aligned,Not a soldier. Something else. Events: folk magic / bayou knowledge / the supernatural undercurrent beneath colonial America. The Bell Witch's neighbor.,IMPLEMENTED,Army: Bayou Raiders. Pools: NP_04 / NP_05 (Spanish/Caribbean).
ARC_19,Caribbean Privateer,ARCHETYPE,USA,PLAYER,ADMIRAL,,,Caribbean / Any Port,Wetlands|Suburbs,,Mercenary / effective / sea-expert / complicated allegiances,Fighting for profit that happens to align with the cause. Events: Nassau alliance support / privateering contracts / the difference between a pirate and a patriot.,IMPLEMENTED,Army: Privateer Corps. Pool: NP_05. Calico Jack / Anne Bonny story hooks.
ARC_20,Hawaiian Refugee,ARCHETYPE,USA,PLAYER,DIPLOMAT,,,HI / Any Metro,Wetlands|Metro,,Displaced / perceptive / diplomatic / Ualani Carlisle's people,Far from home in a war that's also theirs. Events: Pacific connection / diplomatic bridge / being the one person who understands both worlds.,IMPLEMENTED,Army: Pacific Guard. Pool: NP_08 (Hawaiian). Thematic pair with Ualani Carlisle.
ARC_21,Border Mercenary,ARCHETYPE,USA,PLAYER,SOLDIER,,,Any Border,Suburbs|Farmlands,,Pragmatic / price-driven / effective / loyalty to the coin,Fights for whoever pays. Has been paid by the Republic. Events: mercenary loyalty tests / the moment money isn't enough / defection risk.,IMPLEMENTED,Army: Border Company. Pools: NP_03 / NP_05.
ARC_22,Acadian Forest Ranger,ARCHETYPE,USA,PLAYER,SCOUT,,,VT/NH/ME/Canada border,Woods|Wetlands,,Quiet / displaced / francophone / knows the North,The Acadians were displaced twice. Events: borderland intelligence / Canada alliance complexities / French-speaking America.,IMPLEMENTED,Army: Forest Rangers. Pool: NP_06 (French/Acadian).
ARC_23,Gettysburg Descendant,ARCHETYPE,USA,PLAYER,SOLDIER,,,PA/MD,Farmlands|Foothills,,Historically burdened / determined / this ground means something / twice,Carries the weight of what happened here before. Events: Gettysburg significance / Patricia Eubanks crossover / the second time this field matters.,IMPLEMENTED,Army: Heritage Guard. Pools: NP_01 / NP_04.
ARC_24,LGBTQ+ Organizer,ARCHETYPE,USA,PLAYER,DIPLOMAT,,,Any Metro/Suburb,Metro|Suburbs,,Community-builder / strategic / visible / the revolution's unfinished promise,Organizing the revolution within the revolution. Events: mandate and harmony / community defense / what freedom means when it means everyone.,IMPLEMENTED,Army: Solidarity Regiment. Pools: NP_01 / NP_04 / NP_09.
ARC_25,Carnival Barker,ARCHETYPE,USA,PLAYER,ORATOR,,,Any Port/Swamp,Wetlands|Suburbs,,Loud / theatrical / persuasive / questionable / occasionally correct,The propagandist you didn't hire but got anyway. Events: information warfare / morale manipulation / the spectacular stunt that somehow works.,IMPLEMENTED,Army: Showmen's Rifles. Pools: NP_03 / NP_05.
