id,name,category,priority,status,notes
CA_PM_FIRST_MEETING,CA PM Arc: First Meeting,EVENT,P2,TODO,
CA_PM_COUNSEL,CA PM Arc: Counsel,EVENT,P2,TODO,
CA_PM_DOUBT,CA PM Arc: Doubt,EVENT,P2,TODO,
CA_PM_LOYALTY_TEST,CA PM Arc: Loyalty Test,EVENT,P2,TODO,
CA_PM_BATTLEFIELD,CA PM Arc: Battlefield,EVENT,P2,TODO,
CA_PM_PRE_ELECTION,CA PM Arc: Pre-Election,EVENT,P2,TODO,
CA_PM_SOLIDARITY,CA PM Arc: Solidarity,EVENT,P2,TODO,
CA_PM_LEGACY,CA PM Arc: Legacy,EVENT,P2,TODO,
UK_BUILDUP_01,Canada: UK Buildup,EVENT,P2,TODO,
UK_DECLARATION_01,Canada: UK Declaration,EVENT,P2,TODO,
CAN_CALL_01,Canada: The Call,EVENT,P2,TODO,
CAN_PENOIT_01,Canada: Marc Penoit,EVENT,P2,TODO,
CAN_CLEARWATER_01,Canada: Clearwater,EVENT,P2,TODO,
CAN_JOINT_OPS_01,Canada: Joint Ops,EVENT,P2,TODO,
CAN_SUMMIT_01,Canada: Summit,EVENT,P2,TODO,
CAN_PEACE_01,Canada: Peace [explicit],EVENT,P2,TODO,
CAN_ELECTION_LUCK,Canada: Election,EVENT,P2,TODO,
GEORGE_PEACE_01,Peace: George's Peace,EVENT,P2,TODO,
PEACE_ALLIED_01,Peace: Allied Victory,EVENT,P2,TODO,
PEACE_USA_01,Peace: USA Terms,EVENT,P2,TODO,
PEACE_CA_AI_01,Peace: CA AI,EVENT,P2,TODO,
CANADA_FLAG,Canada flag sprite,ASSET,P2,TODO,Draw/create Canada flag sprite for doctrine icon visuals. Save to art assets/finishedAssets/flags/canada_flag.png
CANADA_DOCTRINE_SILHOUETTE,Canada doctrine silhouette (BW),ASSET,P2,TODO,Black silhouette placeholder for unfinished CA doctrine portrait art.
CANADA_GOVERNOR_SILHOUETTE,Mountee silhouette for CA governors,ASSET,P2,TODO,Mountee (RCMP) silhouette image for unfinished Canadian governor portraits. Used as placeholder.
MARC_PENOIT_PORTRAIT,Marc Penoit portrait (color + BW),ASSET,P2,TODO,"Draw Marc Penoit governor portrait. Save color → art assets/finishedAssets/governors/marc_penoit.png, BW variant also needed."
FIX_CA_PROT_TRIGGERS,Wire CA protector summon triggers,CODE,P2,TODO,event_triggers.csv — add 8 rows for CA_PROT_01 through CA_PROT_08 SUMMON events (protector_summon type).
French Language Rights,CA Law: French Language Rights,LAW,P2,TODO,
French Cultural Identity Enshrined,CA Law: French Cultural Identity,LAW,P2,TODO,
Louis Riel,CA Icon: Louis Riel,ICON,P2,TODO,
Roméo Dallaire,CA Icon: Roméo Dallaire,ICON,P2,TODO,
WAR-002,WarRoomPanel typo fix: DEPTARTMENT → DEPARTMENT,EDITOR,P3,TODO,WarRoomPanel.tscn tab + world.gd line 57.
CMD-001,CommanderArcEntry: set checkTexture + circleTexture,EDITOR,P3,TODO,CommanderArcEntry.gd lines 33-34. Use zGreen.png for check; create/import hollow circle for circle.
PROT-001,ProtectorArcEntry: set checkTexture + circleTexture,EDITOR,P3,TODO,Match CMD-001 assets.
MIL-001,Military panel: separator labels between barracks groups,EDITOR,P3,TODO,military_panel_control.gd line 30 — add Label/HSeparator nodes.
TIP-001,Tile info panel: verify 13-resource ManaPanelContainer,EDITOR,P3,TODO,tile_info_panel.tscn — ensure GridContainer/ScrollContainer can show all 13 resource types.
GOV-002,GovernorSelection: add Wizard tab,EDITOR,P3,TODO,"Show wizard name, school, active spells. Wire to changePanel('wizard') path."
MAN-001,Mana panel: add proper Boats icon,EDITOR,P3,TODO,mana_panel.gd line 47-48 uses manpower.png placeholder. Create/import boats.png.
SFX-001,Create AudioManager autoload + SFX buses,EDITOR,P3,TODO,AudioManager.gd singleton with play_sfx() / stop_sfx(). 4 buses: Master/Music/SFX/Ambient.
SFX-002,Wire HIGH-priority SFX trigger points,EDITOR,P3,TODO,"Depends on SFX-001. Key points: End Turn, Event shown, Battle start/win/loss, Season change, Protector agree."
MUSIC-001,Implement menu theme music,EDITOR,P1,TODO,Create MusicManager.gd (or extend AudioManager). Wire menu theme .ogg to play on main_menu load. Fade out on game start.
MUSIC-002,Implement in-game ambient tracks,EDITOR,P1,TODO,Wire 2-3 in-game tracks from composer to AudioManager. Implement track rotation / crossfade on scene change or season change.
PRES_LIB_LINKS,Presidential Library: wikilink navigation between entries,EDITOR,P1,TODO,RecordsTab entries support [[ENTRY_ID]] syntax in body text. Render as clickable RichTextLabel [url] tags. On click: find matching Records entry and navigate to it. No separate buttons needed.
ART_RELIGION_DOCTRINE,Religion/Doctrine purchase tab: American-themed art,ASSET,P1,TODO,Update religion doctrine purchase tab with American revolution-themed visual art (replace placeholder sprites).
ART_LAWS_TAB,Laws tab: Constitution flavor art,ASSET,P1,TODO,Add slight Constitution-themed flavor art/border to the laws tab. Parchment feel preferred.
ART_WEAPON_SPRITES,Weapon sprites for all weapons,ASSET,P1,TODO,Draw or finalize sprites for all weapon types in the weapon roster. Wire to weapon.gd sprite references.
ART_ARMOR_SPRITES,Armor sprites for all armor types,ASSET,P1,TODO,Draw or finalize sprites for all armor types. Wire to armor.gd sprite references.
ART_TECH_ICONS,Technology tree icons (all),ASSET,P1,TODO,Finish all technology node icons for the tech tree. Each node needs a distinct icon.
ART_TECH_BACKGROUND,Technology tree background,ASSET,P1,TODO,Draw/create the technology tree panel background art.
ECON_LEDGER,Economic Ledger panel,EDITOR,P1,TODO,"New panel: EconomicLedger.tscn. Tab 1: broad national resource summary (all 13 resources, total input vs output). Tabs 2-14: per-resource breakdown by tile (tile name + output amount). Wire to tile census data. Add open button to resource bar or world UI."
