number,tileName,terrain,state,country,corruption,specialFeature,buildings,tileCrop,winterScore
134,Tobermory,Farmlands,CA - OT,CA,70,Borders Dust Bowl,farm:1|mine:1,hay,65
135,Midland,Farmlands,CA - OT,CA,45,,farm:1,corn,65
136,Huntsville,Wetlands,CA - OT,CA,20,Muskoka Highlands,camp:1,hay,70
137,Parry Sound,Wetlands,CA - OT,CA,20,Georgian Bay Forests,camp:1,hay,68
138,,,,,,,,,0
139,Buffalo,Suburbs,NY,USA,70,Borders Dust Bowl|Niagara Falls,monument:3|barracks:1|forge:1|mine:1|market:2,corn,78
140,Batavia,Farmlands,NY,USA,45,,farm:1|mine:1|granary:2,corn,70
141,Rochester,Farmlands,NY,USA,20,,farm:1|camp:1,apples,72
142,Rocky Mount,Farmlands,NC,USA,0,Tobacco Belt,farm:2|granary:2,soybeans,-15
143,Nags Head,Wetlands,NC,USA,0,Outer Banks,resort:2,corn,-30
144,Greensboro,Suburbs,NC,USA,0,,library:1|courthouse:1|camp:1,soybeans,10
145,Asheville,Foothills,NC,USA,0,Blue Ridge Highlands,mine:1|camp:1|resort:1,apples,35
146,Raleigh,Suburbs,NC,USA,0,Research Triangle,barracks:2|courthouse:2|library:2,soybeans,8
147,Mooresville,Farmlands,NC,USA,0,,farm:1,corn,12
148,Charlotte,Metro,NC,USA,0,,market:1|barracks:2,corn,10
149,Myrtle Beach,Wetlands,SC,UK,0,,barracks:1|resort:1,soybeans,-35
150,Greenville,Suburbs,SC,USA,0,,farm:1|market:1,peaches,15
151,Charleston,Suburbs,SC,UK,0,Fort Sumter|Fort Moultrie|Charleston Harbor,fortress:2|market:1|barracks:2|dock:2,soybeans,-40
152,Henderson,Foothills,NC,USA,0,,mine:1|camp:1,peaches,18
153,Port Royal,Wetlands,SC,UK,0,,camp:1|resort:1,soybeans,-38
154,Columbia,Suburbs,SC,USA,0,,market:2|courthouse:2|barracks:2,peaches,5
155,Knoxville,Foothills,TN,USA,0,Great Smoky Mountains,mine:1|resort:1,corn,20
156,Savannah,Wetlands,GA,USA,0,Sunbelt,farm:1|market:2|monument:1,soybeans,-45
157,Statesboro,Farmlands,GA,USA,0,Sunbelt,farm:2,peanuts,-30
158,Augusta,Suburbs,GA,USA,0,Sunbelt,farm:2|market:1|barracks:1|library:1,peaches,-15
159,Brunswick,Wetlands,GA,USA,0,Sunbelt,camp:1|resort:1,soybeans,-50
160,Dalton,Foothills,GA,USA,20,Carpet Capital of the World,forge:1|market:1,corn,15
161,Macon,Woods,GA,USA,0,Sunbelt|Georgia Piedmont,farm:1,peaches,-20
162,Athens,Farmlands,GA,USA,20,Sunbelt,farm:1|monument:1,peaches,-10
163,Marietta,Suburbs,GA,USA,45,Sunbelt,market:1|barracks:2,peaches,5
164,Atlanta,Metro,GA,USA,20,Sunbelt,courthouse:2|barracks:3|library:3,peaches,5
165,Nashville,Metro,TN,USA,70,Borders Dust Bowl|Country Music Homeland,courthouse:1|barracks:1|monument:2|market:2,corn,15
166,Americus,Farmlands,GA,USA,20,Sunbelt,farm:1,peanuts,-25
167,Anniston,Woods,AL,USA,70,Borders Dust Bowl|Sunbelt,camp:1,corn,-10
168,Birmingham,Suburbs,AL,USA,70,Borders Dust Bowl|Sunbelt,camp:1|courthouse:1|barracks:1|library:1,corn,-5
169,Tallahassee,Woods,FL,UK,20,Sunbelt,barracks:2|courthouse:1|fortress:2|farm:1,oranges,-60
170,Pensacola,Wetlands,FL,USA,45,Sunbelt,resort:1|farm:1,peanuts,-55
171,Enterprise,Farmlands,AL,USA,45,Sunbelt,farm:1,peanuts,-40
172,Tuscaloosa,Woods,AL,USA,70,Borders Dust Bowl,camp:1|farm:1|library:1|barracks:1,corn,-20
173,Mobile,Suburbs,AL,USA,70,Borders Dust Bowl,barracks:1|farm:1,soybeans,-65
174,Dublin,Farmlands,GA,USA,20,Sunbelt,farm:1,peanuts,-30
175,Tifton,Farmlands,GA,UK,0,Sunbelt,farm:1,peanuts,-40
176,Jacksonville,Suburbs,FL,UK,0,Sunbelt,resort:1|barracks:2,oranges,-65
177,Gainesville,Wetlands,FL,UK,0,Sunbelt,camp:1|farm:1,oranges,-60
178,Orlando,Metro,FL,UK,0,Space Coast|Sunbelt,resort:3|barracks:2|forge:1,oranges,-70
179,Tampa,Suburbs,FL,UK,0,Sunbelt,market:2|barracks:1|resort:1,oranges,-72
180,Naples,Wetlands,FL,UK,0,Sunbelt,camp:1|farm:2,oranges,-80
181,Miami,Suburbs,FL,UK,0,Sunbelt,resort:1|market:2|barracks:2,oranges,-90
182,Nassau,Farmlands,BA,UK,0,Pirate Republic of Nassau,farm:1|courthouse:1|dock:1,oranges,-95
183,Fort Myers,Wetlands,FL,UK,0,Sunbelt,resort:2|fort:1,oranges,-85
184,Columbus,Woods,GA,USA,45,Sunbelt|Georgia Piedmont,farm:2,peanuts,-15
185,Wilmington,Wetlands,NC,USA,0,,barracks:1|farm:1,soybeans,-35
186,Fayetteville,Farmlands,NC,USA,0,,farm:1,soybeans,-10
187,Florence,Woods,NC,USA,0,Carolina Piedmont,camp:1,soybeans,-20
188,Washington,Metro,DC,USA,0,National Mall|Pentagon|US Capitol,courthouse:4|monument:3|barracks:2|library:2,corn,32
189,Allentown,Suburbs,PA,USA,0,Appalachian Minerals,barracks:2|mine:1,corn,45
190,Hicksville,Suburbs,NY,USA,0,,market:2,corn,35
191,Montauk,Wetlands,NY,USA,0,,camp:1,hay,25
192,Newburgh,Woods,NY,USA,0,,camp:1,apples,48
193,Moncton,Woods,CA - NB,CA,0,Acadian Forest|Fort Beauséjour,camp:1|barracks:1|fortress:1,hay,72
194,Saint John,Wetlands,CA - NB,CA,0,Acadian Forest,camp:1,hay,68
195,Anticosti,Woods,CA - QB,UK,0,Anticosti Wilderness,farm:1|barracks:1|dock:1,hay,88
196,Maniwaki,Woods,CA - QB,CA,0,Laurentian Highlands,camp:1,hay,82
197,Peterborough,Farmlands,CA - OT,CA,20,,farm:1,corn,65
198,Hamilton,Suburbs,CA - OT,CA,70,Niagara Falls,forge:1|barracks:2|monument:3,corn,62
199,Mississauga,Metro,CA - OT,CA,45,,barracks:2|forge:1|market:1|mine:1,corn,60
200,Windsor,Farmlands,CA - OT,CA,70,Borders Dust Bowl,farm:1|barracks:1|forge:1,corn,55
201,Ottawa,Metro,CA - OT,CA,0,Capital of Canada|Rideau Canal,courthouse:3|barracks:3|monument:3|fortress:1,corn,80
